imdb_score,budget,content_rating,director_name,director_facebook_likes,actor_3_facebook_likes,actor_3_name,actor_2_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,genres
7.9,237000000.0,1,261,0.0,855.0,5607,936.0,1631,1000.0,405,4834,0
7.1,300000000.0,1,1149,563.0,1000.0,4908,5000.0,855,40000.0,1619,48350,19
6.8,245000000.0,1,842,0.0,161.0,3416,393.0,4732,11000.0,2329,11700,14
8.5,250000000.0,1,365,22000.0,23000.0,1510,23000.0,4913,27000.0,1933,106759,14
6.6,263700000.0,1,1661,475.0,530.0,1251,632.0,45,640.0,1410,1873,0
6.2,258000000.0,1,62,0.0,4000.0,2989,11000.0,5542,24000.0,466,46055,2
7.8,260000000.0,3,391,15.0,284.0,48,553.0,652,799.0,2709,2036,16
7.5,250000000.0,1,1527,0.0,19000.0,744,21000.0,2413,26000.0,2964,92000,14
7.5,250000000.0,3,813,282.0,10000.0,3821,11000.0,5391,25000.0,1499,58753,12
6.9,250000000.0,1,1949,0.0,2000.0,1090,4000.0,3615,15000.0,2885,24450,11
6.1,209000000.0,1,1687,0.0,903.0,2124,10000.0,4038,18000.0,6235,29991,11
6.7,200000000.0,1,1074,395.0,393.0,4732,412.0,845,451.0,6149,2023,11
7.3,225000000.0,1,1149,563.0,1000.0,4908,5000.0,855,40000.0,1619,48486,14
6.5,215000000.0,1,1149,563.0,1000.0,1385,2000.0,2439,40000.0,1619,45757,11
7.2,225000000.0,1,1949,0.0,748.0,4674,3000.0,5661,15000.0,2885,20495,14
6.6,225000000.0,3,856,80.0,201.0,5222,216.0,1384,22000.0,1838,22697,19
8.1,220000000.0,1,1527,0.0,19000.0,744,21000.0,2413,26000.0,2964,87697,14
6.7,250000000.0,1,1773,252.0,1000.0,5164,11000.0,3482,40000.0,1619,54083,11
6.8,225000000.0,1,1731,188.0,718.0,1976,816.0,831,10000.0,3737,12572,0
7.5,250000000.0,1,1934,0.0,773.0,5523,972.0,3094,5000.0,215,9152,11
7.0,230000000.0,1,225,464.0,963.0,2865,10000.0,5083,15000.0,63,28489,19
6.7,200000000.0,1,1032,0.0,738.0,3479,882.0,5841,891.0,641,3244,17
7.9,225000000.0,1,1934,0.0,773.0,5523,972.0,3094,5000.0,215,9152,11
